year,university,department,admission_type,track_name
2026,가천대학교,시각디자인전공,실기/실적,실기우수자전형
2026,가천대학교,산업디자인전공,실기/실적,실기우수자전형
2026,가천대학교,성악전공,실기/실적,실기우수자전형
2026,가천대학교,기악전공,실기/실적,실기우수자전형
2026,가천대학교,작곡전공,실기/실적,실기우수자전형
2026,가천대학교,체육전공,실기/실적,실기우수자전형
2026,가천대학교,태권도전공,실기/실적,실기우수자전형
2026,가천대학교,연기예술학과,실기/실적,실기우수자전형
2026,가톨릭관동대학교,의학과(의예과),학생부교과,일반전형
2026,가톨릭관동대학교,간호학과,학생부교과,일반전형
2026,가톨릭관동대학교,임상병리학과,학생부교과,일반전형
2026,가톨릭관동대학교,치위생학과,학생부교과,일반전형
2026,가톨릭관동대학교,작업치료학과,학생부교과,일반전형
2026,가톨릭관동대학교,국어교육과,학생부교과,일반전형
2026,가톨릭관동대학교,지리교육과,학생부교과,일반전형
2026,가톨릭관동대학교,영어교육과,학생부교과,일반전형
2026,가톨릭관동대학교,역사교육과,학생부교과,일반전형
2026,가톨릭관동대학교,수학교육과,학생부교과,일반전형
2026,가톨릭관동대학교,컴퓨터교육과,학생부교과,일반전형
2026,가톨릭관동대학교,자율전공학부,학생부교과,일반전형
2026,가톨릭관동대학교,경영학전공,학생부교과,일반전형
2026,가톨릭관동대학교,행정학전공,학생부교과,일반전형
2026,가톨릭관동대학교,경찰학부,학생부교과,일반전형
2026,가톨릭관동대학교,사회복지학전공,학생부교과,일반전형
2026,가톨릭관동대학교,광고홍보학전공,학생부교과,일반전형
2026,가톨릭관동대학교,호텔관광경영학전공,학생부교과,일반전형
2026,가톨릭관동대학교,조리외식경영학전공,학생부교과,일반전형
2026,가톨릭관동대학교,의료경영학전공,학생부교과,일반전형
2026,가톨릭관동대학교,항공교통물류전공,학생부교과,일반전형
2026,가톨릭관동대학교,미디어콘텐츠전공,학생부교과,일반전형
2026,가톨릭관동대학교,의생명과학전공,학생부교과,일반전형
2026,가톨릭관동대학교,건축공학전공,학생부교과,일반전형
2026,가톨릭관동대학교,건축학전공(5년제),학생부교과,일반전형
2026,가톨릭관동대학교,AI소프트웨어융합학부,학생부교과,일반전형
2026,가톨릭관동대학교,항공운항전공,학생부교과,일반전형
2026,가톨릭관동대학교,항공정비학전공,학생부교과,일반전형
2026,가톨릭관동대학교,실용음악전공,학생부교과,일반전형
2026,가톨릭관동대학교,CG디자인전공,학생부교과,일반전형
2026,가톨릭관동대학교,의학과(의예과),학생부교과,지역인재전형
2026,가톨릭관동대학교,간호학과,학생부교과,지역인재전형
2026,가톨릭관동대학교,임상병리학과,학생부교과,지역인재전형
2026,가톨릭관동대학교,치위생학과,학생부교과,지역인재전형
2026,가톨릭관동대학교,작업치료학과,학생부교과,지역인재전형
2026,가톨릭관동대학교,국어교육과,학생부교과,지역인재전형
2026,가톨릭관동대학교,지리교육과,학생부교과,지역인재전형
2026,가톨릭관동대학교,영어교육과,학생부교과,지역인재전형
2026,가톨릭관동대학교,역사교육과,학생부교과,지역인재전형
2026,가톨릭관동대학교,수학교육과,학생부교과,지역인재전형
2026,가톨릭관동대학교,컴퓨터교육과,학생부교과,지역인재전형
2026,가톨릭관동대학교,자율전공학부,학생부교과,지역인재전형
2026,가톨릭관동대학교,경영학전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,행정학전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,경찰학부,학생부교과,지역인재전형
2026,가톨릭관동대학교,사회복지학전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,광고홍보학전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,호텔관광경영학전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,조리외식경영학전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,의료경영학전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,항공교통물류전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,미디어콘텐츠전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,의생명과학전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,건축공학전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,건축학전공(5년제),학생부교과,지역인재전형
2026,가톨릭관동대학교,AI소프트웨어융합학부,학생부교과,지역인재전형
2026,가톨릭관동대학교,항공운항전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,항공정비학전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,실용음악전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,CG디자인전공,학생부교과,지역인재전형
2026,가톨릭관동대학교,의학과(의예과),학생부교과,지역기회균형전형
2026,가톨릭관동대학교,간호학과,학생부교과,지역기회균형전형
2026,가톨릭관동대학교,의학과(의예과),학생부교과,기회균형전형
2026,가톨릭관동대학교,간호학과,학생부교과,기회균형전형
2026,가톨릭관동대학교,임상병리학과,학생부교과,기회균형전형
2026,가톨릭관동대학교,치위생학과,학생부교과,기회균형전형
2026,가톨릭관동대학교,작업치료학과,학생부교과,기회균형전형
2026,가톨릭관동대학교,국어교육과,학생부교과,기회균형전형
2026,가톨릭관동대학교,지리교육과,학생부교과,기회균형전형
2026,가톨릭관동대학교,역사교육과,학생부교과,기회균형전형
2026,가톨릭관동대학교,컴퓨터교육과,학생부교과,기회균형전형
2026,가톨릭관동대학교,자율전공학부,학생부교과,기회균형전형
2026,가톨릭관동대학교,행정학전공,학생부교과,기회균형전형
2026,가톨릭관동대학교,경찰학부,학생부교과,기회균형전형
2026,가톨릭관동대학교,사회복지학전공,학생부교과,기회균형전형
2026,가톨릭관동대학교,스포츠재활의학전공,학생부교과,운동선수출신자전형
2026,가톨릭관동대학교,의학과(의예과),학생부종합,일반전형
2026,가톨릭관동대학교,간호학과,학생부종합,일반전형
2026,가톨릭관동대학교,임상병리학과,학생부종합,일반전형
2026,가톨릭관동대학교,치위생학과,학생부종합,일반전형
2026,가톨릭관동대학교,작업치료학과,학생부종합,일반전형
2026,가톨릭관동대학교,국어교육과,학생부종합,일반전형
2026,가톨릭관동대학교,지리교육과,학생부종합,일반전형
2026,가톨릭관동대학교,역사교육과,학생부종합,일반전형
2026,가톨릭관동대학교,컴퓨터교육과,학생부종합,일반전형
2026,가톨릭관동대학교,경찰학부,학생부종합,일반전형
2026,가톨릭관동대학교,사회복지학전공,학생부종합,일반전형
2026,가톨릭관동대학교,항공정비학전공,학생부종합,일반전형
2026,가톨릭관동대학교,의학과(의예과),학생부종합,지역인재전형
2026,가톨릭관동대학교,간호학과,학생부종합,지역인재전형
2026,가톨릭관동대학교,임상병리학과,학생부종합,지역인재전형
2026,가톨릭관동대학교,국어교육과,학생부종합,지역인재전형
2026,가톨릭관동대학교,지리교육과,학생부종합,지역인재전형
2026,가톨릭관동대학교,역사교육과,학생부종합,지역인재전형
2026,가톨릭관동대학교,컴퓨터교육과,학생부종합,지역인재전형
